scheme_id,mf_scheme_code,isin,et_fund_name,match_score,match_method,matched_at,notes
29210,134017,INF767K01NK6,LIC MF Banking & Financial Services Fund,100.0,auto,2026-05-29T10:42:17.672484+00:00,auto_ok from match report
30101,134813,INF769K01DH9,Mirae Asset Aggressive Hybrid Fund,100.0,auto,2026-05-29T10:42:17.656357+00:00,auto_ok from match report
30664,135601,INF663L01FN5,PGIM India ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.660474+00:00,auto_ok from match report
30815,135781,INF769K01DM9,Mirae Asset ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.660371+00:00,auto_ok from match report
30853,135793,INF277K01Z10,Tata Banking and Financial Services Fund,100.0,auto,2026-05-29T10:42:17.672831+00:00,auto_ok from match report
30865,135800,INF277K01Z77,Tata Digital India Fund,100.0,auto,2026-05-29T10:42:17.673682+00:00,auto_ok from match report
31780,147927,nan,Sundaram Arbitrage Fund,100.0,auto,2026-05-29T10:42:17.658003+00:00,auto_ok from match report
31802,120656,INF789F01US8,UTI Large Cap Fund,100.0,auto,2026-05-29T10:42:17.665251+00:00,auto_ok from match report
31807,119436,INF209K01VH8,Aditya Birla Sun Life Large & Mid Cap Fund,100.0,auto,2026-05-29T10:42:17.662639+00:00,auto_ok from match report
31845,120828,INF966L01689,Quant Small Cap Fund,100.0,auto,2026-05-29T10:42:17.674883+00:00,auto_ok from match report
31854,118272,INF760K01EZ8,Canara Robeco Equity Hybrid Fund,100.0,auto,2026-05-29T10:42:17.655236+00:00,auto_ok from match report
31865,120599,INF109K014O9,ICICI Prudential Multicap Fund,100.0,auto,2026-05-29T10:42:17.668335+00:00,auto_ok from match report
31868,149570,INF173K01HZ7,,84.7,manual,2026-05-29T09:39:28.174672+00:00,bulk_grid
31881,119202,INF277K01MK8,,100.0,manual,2026-05-29T10:10:59.721181+00:00,bulk_grid
31882,119178,INF277K01PY2,Tata Mid Cap Fund,100.0,auto,2026-05-29T10:42:17.666351+00:00,auto_ok from match report
31883,119018,INF179K01YV8,HDFC Large Cap Fund,100.0,auto,2026-05-29T10:42:17.664459+00:00,auto_ok from match report
31885,120484,INF192K01BQ9,JM Aggressive Hybrid Fund,100.0,auto,2026-05-29T10:42:17.655992+00:00,auto_ok from match report
31887,120490,INF192K01BZ0,JM Large Cap Fund,100.0,auto,2026-05-29T10:42:17.664729+00:00,auto_ok from match report
31893,118531,INF090I01FN7,Franklin India Large Cap Fund,100.0,auto,2026-05-29T10:42:17.664408+00:00,auto_ok from match report
31894,118533,INF090I01FH9,,100.0,manual,2026-05-29T10:10:59.753551+00:00,bulk_grid
31895,118535,INF090I01FK3,Franklin India Flexi Cap Fund,100.0,auto,2026-05-29T10:42:17.661420+00:00,auto_ok from match report
31913,120264,INF767K01EG3,LIC MF Flexi Cap Fund,100.0,auto,2026-05-29T10:42:17.661799+00:00,auto_ok from match report
31919,120261,INF767K01ED0,LIC MF Aggressive Hybrid Fund,100.0,auto,2026-05-29T10:42:17.656202+00:00,auto_ok from match report
31937,120267,INF767K01EJ7,LIC MF Large Cap Fund,100.0,auto,2026-05-29T10:42:17.664781+00:00,auto_ok from match report
31951,130498,INF179KA1RQ7,HDFC Large and Mid Cap Fund,100.0,auto,2026-05-29T10:42:17.663151+00:00,auto_ok from match report
31961,118678,INF204K01F20,,86.0,manual,2026-05-29T09:39:28.204148+00:00,bulk_grid
31962,118668,INF204K01E54,,82.73,manual,2026-05-29T09:39:28.241200+00:00,bulk_grid
31976,119721,INF200K01UJ5,SBI Large & Midcap Fund,100.0,auto,2026-05-29T10:42:17.663730+00:00,auto_ok from match report
31977,119723,INF200K01UM9,SBI ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.660635+00:00,auto_ok from match report
31983,119609,INF200K01RY0,SBI Equity Hybrid Fund,100.0,auto,2026-05-29T10:42:17.656659+00:00,auto_ok from match report
31990,119053,INF277K01MN2,Tata Aggressive Hybrid Fund,100.0,auto,2026-05-29T10:42:17.656713+00:00,auto_ok from match report
31998,118955,INF179K01UT0,HDFC Flexi Cap Fund,100.0,auto,2026-05-29T10:42:17.661472+00:00,auto_ok from match report
32037,120665,INF789F01UG3,,100.0,manual,2026-05-29T10:10:59.722754+00:00,bulk_grid
32063,120674,INF789F01SK9,UTI Aggressive Hybrid Fund,100.0,auto,2026-05-29T10:42:17.656766+00:00,auto_ok from match report
32142,120270,INF767K01EM1,LIC MF ELSS Tax Saver,100.0,auto,2026-05-29T10:42:17.660267+00:00,auto_ok from match report
32210,119160,INF277K01QZ7,Tata Large Cap Fund,100.0,auto,2026-05-29T10:42:17.665198+00:00,auto_ok from match report
32212,120517,INF209K01ZC0,Aditya Birla Sun Life Equity Hybrid '95 Fund,100.0,auto,2026-05-29T10:42:17.654931+00:00,auto_ok from match report
32231,120596,INF109K011O5,ICICI Prudential Large & Mid Cap Fund,100.0,auto,2026-05-29T10:42:17.663252+00:00,auto_ok from match report
32245,118537,INF090I01FE6,Franklin India Technology Fund,100.0,auto,2026-05-29T10:42:17.673164+00:00,auto_ok from match report
32258,120564,INF209K01XX1,Aditya Birla Sun Life Flexi Cap Fund,100.0,auto,2026-05-29T10:42:17.661000+00:00,auto_ok from match report
32273,120152,INF174K01KW6,,84.1,manual,2026-05-29T09:39:28.219788+00:00,bulk_grid
32291,118540,INF090I01JS8,Franklin India ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.660003+00:00,auto_ok from match report
32299,119019,INF740K01NY4,DSP Aggressive Hybrid Fund,100.0,auto,2026-05-29T10:42:17.655404+00:00,auto_ok from match report
32328,120592,INF109K01Y31,ICICI Prudential ELSS Tax Saver,100.0,auto,2026-05-29T10:42:17.660055+00:00,auto_ok from match report
32369,120251,INF109K01Y07,ICICI Prudential Equity & Debt Fund,100.0,auto,2026-05-29T10:42:17.655778+00:00,auto_ok from match report
32375,118546,INF090I01FZ1,Franklin India Aggressive Hybrid Fund,100.0,auto,2026-05-29T10:42:17.655588+00:00,auto_ok from match report
32397,149601,INF173K01FE6,Sundaram Aggressive Hybrid Fund,66.88,manual,2026-05-29T10:42:07.305021+00:00,manual_rework_review9
32407,120715,INF789F01TF7,UTI ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.660793+00:00,auto_ok from match report
32410,120539,INF209K01VF2,Aditya Birla Sun Life Digital India Fund,100.0,auto,2026-05-29T10:42:17.673031+00:00,auto_ok from match report
