fund_name,category,fund_house,scheme_id,url,status,benchmark,aum_cr,expense_ratio,launch_date,holdings_rows,rank_3y,rank_1y,star_rating,return_since_inception_new,return_1y,return_3y,return_5y,return_since_inception,consistency_score,category_rank,sharpe_ratio,alpha,beta,std_dev,notes
Capitalmind Multi Asset Allocation Fund,Multi Asset Allocation,,46170,https://www.etmoney.com/mutual-funds/capitalmind-multi-asset-allocation-fund/portfolio-details/46170,NO_HOLDINGS,,29.0,2.13,,0.0,,,,,,,,,,,,,,,
Edelweiss Multi Asset Omni FoF,Multi Asset Allocation,Edelweiss Mutual Fund,45751,https://www.etmoney.com/mutual-funds/edelweiss-multi-asset-omni-fof/portfolio-details/45751,NO_HOLDINGS,,479.0,1.4,2025-08-12,0.0,,,,,,,,,,,,,,,
Franklin India Income Plus Arbitrage Active FoF,Multi Asset Allocation,Franklin Templeton Mutual Fund,28234,https://www.etmoney.com/mutual-funds/franklin-india-income-plus-arbitrage-active-fof/portfolio-details/28234,NO_HOLDINGS,,135.0,0.54,2014-11-07,0.0,,,,,,,,,,,,,,,
HDFC Multi-Asset Active FoF,Multi Asset Allocation,HDFC Mutual Fund,41928,https://www.etmoney.com/mutual-funds/hdfc-multi-asset-active-fof/portfolio-details/41928,NO_HOLDINGS,,5780.0,1.12,2021-04-16,0.0,,,,,,,,,,,,,,,
HSBC Multi Asset Active FoF,Multi Asset Allocation,HSBC Mutual Fund,25382,https://www.etmoney.com/mutual-funds/hsbc-multi-asset-active-fof/portfolio-details/25382,NO_HOLDINGS,,93.0,1.45,2014-04-09,0.0,,,,,,,,,,,,,,,
ICICI Prudential Dynamic Asset Allocation Active FoF,Multi Asset Allocation,ICICI Prudential Mutual Fund,1769,https://www.etmoney.com/mutual-funds/icici-prudential-dynamic-asset-allocation-active-fof/portfolio-details/1769,NO_HOLDINGS,CRISIL Hybrid 50+50 Moderate Index,28311.0,1.37,2003-11-10,0.0,,,,,,,,,,,,,,,
ICICI Prudential Passive Multi-Asset FoF,Multi Asset Allocation,ICICI Prudential Mutual Fund,42395,https://www.etmoney.com/mutual-funds/icici-prudential-passive-multi-asset-fof/portfolio-details/42395,NO_HOLDINGS,,1538.0,0.57,2021-12-27,0.0,,,,,,,,,,,,,,,
Kotak Multi Asset Omni FoF,Multi Asset Allocation,Kotak Mahindra Mutual Fund,2126,https://www.etmoney.com/mutual-funds/kotak-multi-asset-omni-fof/portfolio-details/2126,NO_HOLDINGS,,2451.0,1.1,2004-07-01,0.0,,,,,,,,,,,,,,,
Motilal Oswal Asset Allocation Passive FoF - Aggressive,Multi Asset Allocation,Motilal Oswal Mutual Fund,41801,https://www.etmoney.com/mutual-funds/motilal-oswal-asset-allocation-passive-fof-aggressive/portfolio-details/41801,NO_HOLDINGS,,160.0,0.52,2021-02-19,0.0,,,,,,,,,,,,,,,
Motilal Oswal Asset Allocation Passive FoF - Conservative,Multi Asset Allocation,Motilal Oswal Mutual Fund,41803,https://www.etmoney.com/mutual-funds/motilal-oswal-asset-allocation-passive-fof-conservative/portfolio-details/41803,NO_HOLDINGS,,76.0,0.55,2021-02-19,0.0,,,,,,,,,,,,,,,
Nippon India Multi - Asset Omni FoF,Multi Asset Allocation,Nippon India Mutual Fund,41733,https://www.etmoney.com/mutual-funds/nippon-india-multi-asset-omni-fof/portfolio-details/41733,NO_HOLDINGS,,2520.0,1.07,2021-01-18,0.0,,,,,,,,,,,,,,,
Quantum Multi Asset Active FoF,Multi Asset Allocation,Quantum Mutual Fund,34464,https://www.etmoney.com/mutual-funds/quantum-multi-asset-active-fof/portfolio-details/34464,NO_HOLDINGS,,77.0,0.49,2017-04-01,0.0,,,,,,,,,,,,,,,
Canara Robeco Banking And Financial Services Fund,Sectoral Banking,,46185,https://www.etmoney.com/mutual-funds/canara-robeco-banking-and-financial-services-fund/portfolio-details/46185,NO_HOLDINGS,NIFTY Financial Services TRI,569.0,3.22,,0.0,,,,,,,,,,,,,,,
