mf_scheme_code,nav_date,nav
154051,2026-05-26,102.5098
154063,2026-05-26,11.1548
154076,2026-05-26,10.2935
154082,2026-05-26,9.797
154093,2026-05-26,9.72
154108,2026-05-26,9.4248
154121,2026-05-26,10.6016
154142,2026-05-26,9.9962
154149,2026-05-26,10.005
154155,2026-05-26,9.4917
154157,2026-05-26,10.5082
154161,2026-05-26,9.677
154177,2026-05-26,10.1122
154185,2026-05-26,9.9905
154195,2026-05-26,10.3237
154210,2026-05-26,11.27
154215,2026-05-26,11.211
154225,2026-05-26,10.75
154232,2026-05-26,10.3214
154236,2026-05-26,10.127
154244,2026-05-26,10.7774
154250,2026-05-26,10.55
154257,2026-05-26,10.1
154269,2026-05-26,10.9132
154307,2026-05-26,9.8404
154316,2026-05-26,10.167
154320,2026-05-26,10.0387
