stock_name,fund_count,avg_allocation_percent
SUDARSHAN CHEMICAL INDUSTRIES,9,1.1011111111111112
BANK OF INDIA,9,1.0477777777777777
HEALTHCARE GLOBAL ENTERPRISES,9,0.9777777777777779
GRAPHITE INDIA,9,0.8833333333333333
NETWEB TECHNOLOGIES INDIA,9,0.8766666666666667
AMAGI MEDIA LABS,9,0.8766666666666666
CAMPUS ACTIVEWEAR,9,0.8633333333333333
VARDHMAN TEXTILES,9,0.8155555555555556
CORONA REMEDIES,9,0.7622222222222222
TATA CHEMICALS,9,0.7355555555555555
ARCHEAN CHEMICAL INDUSTRIES,9,0.6922222222222223
SKF INDIA,9,0.6466666666666667
ALEMBIC PHARMACEUTICALS,9,0.6355555555555555
INDIQUBE SPACES,9,0.6233333333333334
POWER MECH PROJECTS,9,0.6188888888888889
NIVA BUPA HEALTH INSURANCE COMPANY,9,0.581111111111111
BANSAL WIRE INDUSTRIES,9,0.5455555555555556
CARE RATINGS,9,0.5344444444444445
BLACKBUCK,9,0.5211111111111112
GREENPLY INDUSTRIES,9,0.5066666666666666
MASTEK,9,0.39
CHEMPLAST SANMAR,9,0.27555555555555555
QUALITY POWER ELECTRICAL EQUIPMENTS,8,2.61
GARWARE HI-TECH FILMS,8,2.1212500000000003
WAAREE ENERGIES,8,2.095
TVS HOLDINGS,8,1.69875
JAIN RESOURCE RECYCLING,8,1.5562500000000001
UPL,8,1.3225
ADITYA VISION,8,1.21
HINDUSTAN ZINC,8,1.185
STERLITE TECHNOLOGIES,8,1.17125
NIFTY BANK,8,1.12625
INGERSOLL-RAND (INDIA),8,1.0787499999999999
STYLAM INDUSTRIES,8,1.05875
DODLA DAIRY,8,1.055
PARADEEP PHOSPHATES,8,1.05125
NLC INDIA,8,1.045
AWL AGRI BUSINESS,8,1.02875
GMR AIRPORTS,8,1.00375
AHLUWALIA CONTRACTS (INDIA),8,0.97375
DEEPAK FERTILISERS AND PETROCHEMICALS CORPORATION,8,0.84
JIO FINANCIAL SERVICES,8,0.81375
RESTAURANT BRANDS ASIA,8,0.79125
MEDPLUS HEALTH SERVICES,8,0.78625
AMARA RAJA ENERGY & MOBILITY,8,0.76625
ELGI EQUIPMENTS,8,0.75875
MAZAGON DOCK SHIPBUILDERS,8,0.74375
INDEGENE,8,0.74125
PRAJ INDUSTRIES,8,0.71
KNR CONSTRUCTIONS,8,0.6825
SONATA SOFTWARE,8,0.6825
ICRA,8,0.6437499999999999
ASTRAZENECA PHARMA INDIA,8,0.6174999999999999
INDIAMART INTERMESH,8,0.59
GUJARAT GAS,8,0.5025
ELECTRONICS MART INDIA,8,0.475
MAX ESTATES,8,0.3825
SHEELA FOAM,8,0.3775
SAPPHIRE FOODS INDIA,8,0.365
NEWGEN SOFTWARE TECHNOLOGIES,8,0.3375
ADITYA BIRLA FASHION AND RETAIL,8,0.275
HEG,7,1.82
TIPS INDUSTRIES,7,1.3671428571428572
GODREJ INDUSTRIES,7,1.2857142857142858
BELRISE INDUSTRIES,7,1.1814285714285713
NITIN SPINNERS,7,1.1285714285714286
ASK AUTOMOTIVE,7,1.0485714285714285
SANDHAR TECHNOLOGIES,7,0.9471428571428572
SHADOWFAX TECHNOLOGIES,7,0.9214285714285715
NBCC (INDIA),7,0.8985714285714286
JINDAL SAW,7,0.8757142857142857
PROCTER & GAMBLE HYGIENE AND HEALTH CARE,7,0.8671428571428572
V2 RETAIL,7,0.8628571428571429
ZAGGLE PREPAID OCEAN SERVICES,7,0.8628571428571429
THE SOUTH INDIAN BANK,7,0.8142857142857143
REDINGTON,7,0.7999999999999999
INDIAN OIL CORPORATION,7,0.7885714285714285
RATEGAIN TRAVEL TECHNOLOGIES,7,0.7471428571428572
JUPITER LIFE LINE HOSPITALS,7,0.7000000000000001
CAPILLARY TECHNOLOGIES INDIA,7,0.687142857142857
SENCO GOLD,7,0.6799999999999999
EPL,7,0.6614285714285714
POWERICA,7,0.5985714285714285
LATENT VIEW ANALYTICS,7,0.5971428571428571
REPCO HOME FINANCE,7,0.58
MEDI ASSIST HEALTHCARE SERVICES,7,0.5528571428571428
INDRAPRASTHA GAS,7,0.5328571428571428
VRL LOGISTICS,7,0.48714285714285716
ROSSARI BIOTECH,7,0.41000000000000003
BRAINBEES SOLUTIONS,7,0.33285714285714285
SUDEEP PHARMA,7,0.22
SANOFI INDIA,7,0.14285714285714285
ADANI GREEN ENERGY,6,4.701666666666667
VA TECH WABAG,6,2.0766666666666667
PRICOL,6,1.6083333333333334
SWAN CORP,6,1.5916666666666668
FIEM INDUSTRIES,6,1.4683333333333335
INOX INDIA,6,1.405
GRAVITA INDIA,6,1.3616666666666666
MANORAMA INDUSTRIES,6,1.3550000000000002
EMMVEE PHOTOVOLTAIC POWER,6,1.2466666666666668
MAS FINANCIAL SERVICES,6,1.2149999999999999
ALIVUS LIFE SCIENCES,6,1.1633333333333333
CEMINDIA PROJECTS,6,1.1199999999999999
TIME TECHNOPLAST,6,1.0166666666666666
PEARL GLOBAL INDUSTRIES,6,0.995
FINOLEX CABLES,6,0.8733333333333334
ADITYA BIRLA LIFESTYLE BRANDS,6,0.8416666666666667
JK TYRE & INDUSTRIES,6,0.8283333333333333
DHANUKA AGRITECH,6,0.8250000000000001
MOLD-TEK PACKAGING,6,0.77
KIRLOSKAR FERROUS INDUSTRIES,6,0.6633333333333334
GATEWAY DISTRIPARKS,6,0.6483333333333333
OTHERS,6,0.6483333333333333
SUPRAJIT ENGINEERING,6,0.5733333333333334
CIGNITI TECHNOLOGIES,6,0.5283333333333333
NESCO,6,0.5283333333333333
GANESHA ECOSPHERE,6,0.5183333333333333
MAHANAGAR GAS,6,0.48500000000000004
ASTRA MICROWAVE PRODUCTS,6,0.435
ORKLA INDIA,6,0.43
AJAX ENGINEERING,6,0.4283333333333333
LA OPALA RG,6,0.35000000000000003
ORCHID PHARMA,6,0.305
DIGITIDE SOLUTIONS,6,0.18166666666666664
GODAWARI POWER AND ISPAT,5,2.596
IRB INFRASTRUCTURE DEVELOPERS,5,2.274
SHRIRAM PISTONS & RINGS,5,1.582
FORCE MOTORS,5,1.402
PUNJAB NATIONAL BANK,5,1.3940000000000001
THE JAMMU & KASHMIR BANK,5,1.242
ASAHI INDIA GLASS,5,1.108
OLA ELECTRIC MOBILITY,5,1.104
TRIVENI ENGINEERING & INDUSTRIES,5,1.1
TRANSPORT CORPORATION OF INDIA,5,1.084
FINOLEX INDUSTRIES,5,1.03
ANANT RAJ,5,0.9960000000000001
VODAFONE IDEA,5,0.992
MARKSANS PHARMA,5,0.982
GENERAL INSURANCE CORPORATION OF INDIA,5,0.95
P N GADGIL JEWELLERS,5,0.93
STRIDES PHARMA SCIENCE,5,0.8959999999999999
THYROCARE TECHNOLOGIES,5,0.844
